system_name,test_id,category,category_display,recovery_test,question,expected_tools,majority_pass,pass_count,mean_correctness,mean_relevance,mean_completeness,mean_pedagogical_quality,mean_grounding_consistency,mean_overall_score,stdev_overall_score,any_critical_error,critical_error_count,primary_error_type,observed_error_types,judge_error_occurrence_count,initial_selected_tools,final_selected_tools,initial_exact_selection,final_exact_selection,final_plan_execution_success,expected_tool_fulfillment,final_validation_status,recovery_triggered,recovery_successful
Basic Tool Use,T081,recovery_personalization_trace,Recovery / Personalization / Trace,No,"Explain convolution again, but make it easier than before.",TraceSearchTool;RAGTool,True,2,4.0,4.666666666666667,4.333333333333333,4.666666666666667,4.0,4.333333333333334,0.7023769168568492,True,1,calculation_error,calculation_error,1,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,Yes,Yes,Yes,Yes,,,
Manager Without Recovery,T083,recovery_personalization_trace,Recovery / Personalization / Trace,No,I still confuse filters and matrices. Explain the difference again.,TraceSearchTool;RAGTool,False,1,2.333333333333333,2.333333333333333,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.533333333333333,1.2858201014657271,True,2,incomplete_answer,incomplete_answer,2,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,valid,No,No
Full Manager,T084,recovery_personalization_trace,Recovery / Personalization / Trace,No,I already understand kernels. Explain stride without repeating the kernel definition too much.,TraceSearchTool;RAGTool,False,0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.5773502691896257,True,3,incomplete_answer,incomplete_answer;irrelevant_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,No,valid,No,No
Manager Without Recovery,T084,recovery_personalization_trace,Recovery / Personalization / Trace,No,I already understand kernels. Explain stride without repeating the kernel definition too much.,TraceSearchTool;RAGTool,False,0,3.6666666666666665,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.6666666666666665,3.2666666666666666,0.5773502691896257,False,0,none,,0,CalculatorTool;MatrixComputationTool;RAGTool,CalculatorTool;MatrixComputationTool;RAGTool,No,No,Yes,No,valid,No,No
Direct LLM,T085,recovery_personalization_trace,Recovery / Personalization / Trace,No,I struggle with matrix dimensions. Explain matrix multiplication using a simpler example.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,2.0,2.333333333333333,3.0,2.333333333333333,2.0,2.333333333333333,0.2309401076758502,True,3,factual_error,calculation_error;factual_error,3,,,,,,,,,
Manager Without Recovery,T086,recovery_personalization_trace,Recovery / Personalization / Trace,No,I confused matrix multiplication with convolution before. Correct that misunderstanding.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,incomplete_answer,incomplete_answer;irrelevant_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,invalid,No,No
Basic Tool Use,T086,recovery_personalization_trace,Recovery / Personalization / Trace,No,I confused matrix multiplication with convolution before. Correct that misunderstanding.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,2.333333333333333,2.6666666666666665,3.333333333333333,2.333333333333333,2.0,2.533333333333333,0.4163331998932265,True,3,factual_error,factual_error,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,,,
Full Manager,T086,recovery_personalization_trace,Recovery / Personalization / Trace,No,I confused matrix multiplication with convolution before. Correct that misunderstanding.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,0.5773502691896257,True,2,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,No,No,No,No,invalid,Yes,No
Direct LLM,T087,recovery_personalization_trace,Recovery / Personalization / Trace,No,Give me a simpler explanation than the previous one about padding.,TraceSearchTool;RAGTool,True,2,4.333333333333333,3.6666666666666665,3.6666666666666665,4.333333333333333,3.6666666666666665,3.9333333333333336,1.171893055416463,True,1,incomplete_answer,incomplete_answer,1,,,,,,,,,
Manager Without Recovery,T087,recovery_personalization_trace,Recovery / Personalization / Trace,No,Give me a simpler explanation than the previous one about padding.,TraceSearchTool;RAGTool,False,0,2.0,1.6666666666666667,2.333333333333333,2.0,2.333333333333333,2.0666666666666664,0.7023769168568492,True,3,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,valid,No,No
Basic Tool Use,T087,recovery_personalization_trace,Recovery / Personalization / Trace,No,Give me a simpler explanation than the previous one about padding.,TraceSearchTool;RAGTool,False,0,2.0,2.333333333333333,3.0,2.0,2.0,2.2666666666666666,0.115470053837925,True,3,factual_error,factual_error,3,RAGTool;TraceSearchTool;VisualMatrixTool,RAGTool;TraceSearchTool;VisualMatrixTool,No,No,Yes,Yes,,,
Manager Without Recovery,T089,recovery_personalization_trace,Recovery / Personalization / Trace,No,Explain matrix multiplication again but avoid convolution examples.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.4666666666666666,0.5033222956847166,True,3,contradictory_answer,contradictory_answer;irrelevant_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,invalid,No,No
Basic Tool Use,T089,recovery_personalization_trace,Recovery / Personalization / Trace,No,Explain matrix multiplication again but avoid convolution examples.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.5773502691896257,True,1,incomplete_answer,incomplete_answer,2,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,,,
Full Manager,T089,recovery_personalization_trace,Recovery / Personalization / Trace,No,Explain matrix multiplication again but avoid convolution examples.,TraceSearchTool;RAGTool;VisualMatrixTool,False,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5773502691896257,True,3,non_answer,irrelevant_answer;non_answer,3,MatrixComputationTool;RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,No,No,No,No,invalid,Yes,No
Manager Without Recovery,T091,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain convolution, but force the first attempt without RAG grounding.",RAGTool,True,2,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,2.309401076758503,True,1,contradictory_answer,contradictory_answer,1,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,valid,No,No
Basic Tool Use,T091,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain convolution, but force the first attempt without RAG grounding.",RAGTool,False,0,2.6666666666666665,3.0,3.333333333333333,2.6666666666666665,2.333333333333333,2.8000000000000003,0.529150262212918,True,3,mixed:calculation_error|contradictory_answer|factual_error,calculation_error;contradictory_answer;factual_error,3,RAGTool,RAGTool,Yes,Yes,Yes,Yes,,,
Basic Tool Use,T092,recovery_personalization_trace,Recovery / Personalization / Trace,Yes,"Explain padding and stride, but force the first attempt without grounding.",RAGTool,True,2,3.6666666666666665,3.6666666666666665,4.0,3.6666666666666665,3.333333333333333,3.6666666666666665,0.5773502691896257,True,1,contradictory_answer,contradictory_answer,1,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,,,
