test_id,category,question,expected_tools,selected_tools,workflow_status,validation_status,recovery_used,attempts,trace_path,trace_paths,report_path,memory_updated,final_answer_generated,notes
T002,conceptual_grounded,What is a convolution kernel in image processing?,RAGTool,RAGTool;MatrixComputationTool,validated,valid,No,1,evaluation/traces/T002_trace.json,evaluation/traces/T002_round01_TT-cb643934_trace.json;evaluation/traces/T002_round02_TT-510d6b5a_trace.json,evaluation/runs/T002_full_manager_report.json,Yes,Yes,Full manager execution.
T006,conceptual_grounded,Explain stride in convolution using simple language.,RAGTool,RAGTool;MatrixComputationTool,validated,valid,No,1,evaluation/traces/T006_trace.json,evaluation/traces/T006_round01_TT-798a7382_trace.json;evaluation/traces/T006_round02_TT-6c23d7ae_trace.json,evaluation/runs/T006_full_manager_report.json,Yes,Yes,Full manager execution.
T008,conceptual_grounded,What does valid convolution mean?,RAGTool,RAGTool;MatrixComputationTool,validated,valid,No,1,evaluation/traces/T008_trace.json,evaluation/traces/T008_round01_TT-5f8b7e07_trace.json;evaluation/traces/T008_round02_TT-e3b214e3_trace.json,evaluation/runs/T008_full_manager_report.json,Yes,Yes,Full manager execution.
T010,conceptual_grounded,Explain why a convolution kernel slides over an input matrix.,RAGTool,RAGTool;MatrixComputationTool,validated,valid,No,1,evaluation/traces/T010_trace.json,evaluation/traces/T010_round01_TT-4aaa0124_trace.json;evaluation/traces/T010_round02_TT-ace65866_trace.json,evaluation/runs/T010_full_manager_report.json,Yes,Yes,Full manager execution. Grounded fallback was used.
T013,conceptual_grounded,Explain the difference between matrix multiplication and convolution.,RAGTool,RAGTool;MatrixComputationTool,validated,valid,No,1,evaluation/traces/T013_trace.json,evaluation/traces/T013_round01_TT-8d23d879_trace.json;evaluation/traces/T013_round02_TT-89fffb74_trace.json;evaluation/traces/T013_round03_TT-712ba8ca_trace.json,evaluation/runs/T013_full_manager_report.json,Yes,Yes,Full manager execution.
T018,conceptual_grounded,Explain what a visual matrix example helps a learner understand.,RAGTool,RAGTool,fallback,invalid,Yes,3,evaluation/traces/T018_trace.json,evaluation/traces/T018_round01_TT-18f45b45_trace.json;evaluation/traces/T018_round02_TT-e66451c3_trace.json,evaluation/runs/T018_full_manager_report.json,Yes,Yes,Full manager execution.
T021,computation_verification,What is 12 times 8?,CalculatorTool,CalculatorTool,validated,valid,No,1,evaluation/traces/T021_trace.json,evaluation/traces/T021_round01_TT-5e12733c_trace.json,evaluation/runs/T021_full_manager_report.json,Yes,Yes,Full manager execution.
T022,computation_verification,Calculate 45 plus 37.,CalculatorTool,CalculatorTool,validated,valid,No,1,evaluation/traces/T022_trace.json,evaluation/traces/T022_round01_TT-8b207af6_trace.json,evaluation/runs/T022_full_manager_report.json,Yes,Yes,Full manager execution.
T024,computation_verification,Calculate 7 squared plus 3 squared.,CalculatorTool,CalculatorTool,validated,valid,No,1,evaluation/traces/T024_trace.json,evaluation/traces/T024_round01_TT-c785092e_trace.json,evaluation/runs/T024_full_manager_report.json,Yes,Yes,Full manager execution.
T026,computation_verification,"Compute the output size of a convolution with input 7x7, kernel 3x3, stride 2, padding 1.",CalculatorTool,RAGTool;CalculatorTool,validated,valid,No,1,evaluation/traces/T026_trace.json,evaluation/traces/T026_round01_TT-9ee66e16_trace.json;evaluation/traces/T026_round02_TT-ae4fc996_trace.json;evaluation/traces/T026_round03_TT-a663aec7_trace.json;evaluation/traces/T026_round04_TT-1698d41c_trace.json,evaluation/runs/T026_full_manager_report.json,Yes,Yes,Full manager execution.
T028,computation_verification,"Compute the output size of a convolution with input 8x8, kernel 3x3, stride 1, padding 1.",CalculatorTool,RAGTool;CalculatorTool,validated,valid,No,1,evaluation/traces/T028_trace.json,evaluation/traces/T028_round01_TT-46b686ac_trace.json;evaluation/traces/T028_round02_TT-05aaf979_trace.json;evaluation/traces/T028_round03_TT-c2c51a5d_trace.json,evaluation/runs/T028_full_manager_report.json,Yes,Yes,Full manager execution.
T030,computation_verification,Can a 3x2 matrix be multiplied by a 3x3 matrix?,MatrixComputationTool,RAGTool;MatrixComputationTool,validated,valid,Yes,3,evaluation/traces/T030_trace.json,evaluation/traces/T030_round01_TT-ac1574bf_trace.json;evaluation/traces/T030_round02_TT-3b0244fa_trace.json,evaluation/runs/T030_full_manager_report.json,Yes,Yes,Full manager execution.
