candidate_id,test_id,anonymous_label,run_1_pass,run_1_critical_error,run_1_error_type,run_1_correctness,run_1_relevance,run_1_completeness,run_1_pedagogical_quality,run_1_grounding_consistency,run_1_overall_score,run_2_pass,run_2_critical_error,run_2_error_type,run_2_correctness,run_2_relevance,run_2_completeness,run_2_pedagogical_quality,run_2_grounding_consistency,run_2_overall_score,run_3_pass,run_3_critical_error,run_3_error_type,run_3_correctness,run_3_relevance,run_3_completeness,run_3_pedagogical_quality,run_3_grounding_consistency,run_3_overall_score,pass_count,majority_pass,unanimous_decision,critical_error_count,any_critical_error,mean_correctness,stdev_correctness,mean_relevance,stdev_relevance,mean_completeness,stdev_completeness,mean_pedagogical_quality,stdev_pedagogical_quality,mean_grounding_consistency,stdev_grounding_consistency,mean_overall_score,stdev_overall_score,system_name,operational_complete,end_to_end_success
T001-A,T001,A,True,False,none,4.0,5.0,4.0,4.0,4.0,4.2,True,False,none,4.0,5.0,4.0,4.0,4.0,4.2,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,3,True,True,0,False,4.0,0.0,4.666666666666667,0.5773502691896257,4.0,0.0,4.0,0.0,4.0,0.0,4.133333333333334,0.11547005383792526,Basic Tool Use,True,True
T001-B,T001,B,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Full Manager,True,True
T001-C,T001,C,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T001-D,T001,D,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Manager Without Recovery,True,True
T002-A,T002,A,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T002-B,T002,B,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Manager Without Recovery,True,True
T002-C,T002,C,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Full Manager,True,True
T002-D,T002,D,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,3,True,True,0,False,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.0,0.0,4.0,0.0,4.666666666666667,0.5773502691896257,4.3999999999999995,0.34641016151377524,Basic Tool Use,True,True
T003-A,T003,A,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T003-B,T003,B,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Basic Tool Use,True,True
T003-C,T003,C,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,0,False,True,3,True,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,Manager Without Recovery,True,False
T003-D,T003,D,False,True,incomplete_answer,2.0,1.0,2.0,1.0,2.0,1.6,False,False,none,2.0,2.0,2.0,2.0,2.0,2.0,False,True,incomplete_answer,2.0,2.0,2.0,2.0,2.0,2.0,0,False,True,2,True,2.0,0.0,1.6666666666666667,0.5773502691896257,2.0,0.0,1.6666666666666667,0.5773502691896257,2.0,0.0,1.8666666666666667,0.23094010767585024,Full Manager,True,False
T004-A,T004,A,True,False,none,5.0,5.0,4.0,4.0,5.0,4.6,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,4.666666666666667,0.5773502691896257,4.533333333333333,0.5033222956847166,Manager Without Recovery,True,True
T004-B,T004,B,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,Direct LLM,True,True
T004-C,T004,C,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,False,False,none,3.0,3.0,3.0,3.0,3.0,3.0,2,True,False,0,False,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,4.333333333333333,1.1547005383792515,Full Manager,True,True
T004-D,T004,D,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,True,False,none,4.0,4.0,4.0,4.0,4.0,4.0,True,False,none,5.0,5.0,5.0,5.0,5.0,5.0,3,True,True,0,False,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,4.666666666666667,0.5773502691896257,Basic Tool Use,True,True
T005-A,T005,A,False,True,incomplete_answer,1.0,1.0,2.0,2.0,2.0,1.6,False,True,incomplete_answer,3.0,3.0,3.0,3.0,3.0,3.0,False,False,incomplete_answer,3.0,3.0,3.0,3.0,3.0,3.0,0,False,True,2,True,2.3333333333333335,1.1547005383792515,2.3333333333333335,1.1547005383792515,2.6666666666666665,0.5773502691896257,2.6666666666666665,0.5773502691896257,2.6666666666666665,0.5773502691896257,2.533333333333333,0.808290376865476,Manager Without Recovery,True,False
