system_name,test_id,category,category_display,question,expected_tools,initial_selected_tools,initial_selection_error_class,initial_missing_tools,initial_extra_tools,final_selected_tools,final_selection_error_class,final_missing_tools,final_extra_tools,final_plan_execution_success,expected_tool_fulfillment,majority_pass,mean_overall_score,any_critical_error
Basic Tool Use,T001,conceptual_grounded,Conceptual / Grounded,Explain convolution in simple terms for a beginner.,RAGTool,RAGTool;TraceSearchTool,unnecessary_extra_tools,,TraceSearchTool,RAGTool;TraceSearchTool,unnecessary_extra_tools,,TraceSearchTool,Yes,Yes,True,4.133333333333334,False
Basic Tool Use,T005,conceptual_grounded,Conceptual / Grounded,Explain padding in convolution using simple language.,RAGTool,RAGTool;VisualMatrixTool,unnecessary_extra_tools,,VisualMatrixTool,RAGTool;VisualMatrixTool,unnecessary_extra_tools,,VisualMatrixTool,Yes,Yes,True,4.0,False
Basic Tool Use,T006,conceptual_grounded,Conceptual / Grounded,Explain stride in convolution using simple language.,RAGTool,RAGTool;VisualMatrixTool,unnecessary_extra_tools,,VisualMatrixTool,RAGTool;VisualMatrixTool,unnecessary_extra_tools,,VisualMatrixTool,Yes,Yes,False,3.8666666666666663,True
Basic Tool Use,T007,conceptual_grounded,Conceptual / Grounded,Explain the difference between padding and stride.,RAGTool,RAGTool;VisualMatrixTool,unnecessary_extra_tools,,VisualMatrixTool,RAGTool;VisualMatrixTool,unnecessary_extra_tools,,VisualMatrixTool,Yes,Yes,True,4.4,False
Basic Tool Use,T010,conceptual_grounded,Conceptual / Grounded,Explain why a convolution kernel slides over an input matrix.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,No,Yes,True,5.0,False
Basic Tool Use,T011,conceptual_grounded,Conceptual / Grounded,Explain matrix multiplication in simple terms.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,No,No,True,4.466666666666667,False
Basic Tool Use,T013,conceptual_grounded,Conceptual / Grounded,Explain the difference between matrix multiplication and convolution.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,No,Yes,True,5.0,False
Basic Tool Use,T014,conceptual_grounded,Conceptual / Grounded,Why is matrix multiplication not the same as sliding a kernel?,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,No,No,True,3.8666666666666663,False
Basic Tool Use,T015,conceptual_grounded,Conceptual / Grounded,Explain why matrix dimensions matter in matrix multiplication.,RAGTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,MatrixComputationTool;RAGTool,unnecessary_extra_tools,,MatrixComputationTool,No,No,True,4.466666666666667,False
Basic Tool Use,T018,conceptual_grounded,Conceptual / Grounded,Explain what a visual matrix example helps a learner understand.,RAGTool,MatrixComputationTool;RAGTool;TraceSearchTool;VisualMatrixTool,unnecessary_extra_tools,,MatrixComputationTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool;VisualMatrixTool,unnecessary_extra_tools,,MatrixComputationTool;TraceSearchTool;VisualMatrixTool,No,Yes,True,4.666666666666667,False
