test_id,category,category_display,recovery_test,question,recovery_triggered,recovery_successful,final_validation_status,strict_trace_complete,final_plan_execution_success,expected_tool_fulfillment,round_count,attempted_call_count,majority_pass,mean_overall_score,primary_error_type,any_critical_error
T001,conceptual_grounded,Conceptual / Grounded,No,Explain convolution in simple terms for a beginner.,No,No,valid,Yes,Yes,Yes,2,3,True,5.0,none,False
T002,conceptual_grounded,Conceptual / Grounded,No,What is a convolution kernel in image processing?,No,No,valid,Yes,Yes,Yes,2,4,True,5.0,none,False
T003,conceptual_grounded,Conceptual / Grounded,No,Explain the difference between a filter and a feature map.,No,No,valid,Yes,Yes,Yes,3,3,False,1.8666666666666667,incomplete_answer,True
T004,conceptual_grounded,Conceptual / Grounded,No,Why is convolution useful in convolutional neural networks?,No,No,valid,Yes,Yes,Yes,2,3,True,4.333333333333333,none,False
T005,conceptual_grounded,Conceptual / Grounded,No,Explain padding in convolution using simple language.,No,No,valid,Yes,Yes,Yes,2,3,False,2.533333333333333,incomplete_answer,True
T006,conceptual_grounded,Conceptual / Grounded,No,Explain stride in convolution using simple language.,No,No,valid,Yes,Yes,Yes,2,3,False,2.333333333333333,incomplete_answer,True
T007,conceptual_grounded,Conceptual / Grounded,No,Explain the difference between padding and stride.,No,No,valid,Yes,Yes,Yes,2,3,False,2.0,incomplete_answer,True
T008,conceptual_grounded,Conceptual / Grounded,No,What does valid convolution mean?,No,No,valid,Yes,Yes,Yes,2,3,True,5.0,none,False
T009,conceptual_grounded,Conceptual / Grounded,No,What does same convolution mean?,No,No,valid,Yes,Yes,Yes,1,2,True,3.8666666666666663,none,False
T010,conceptual_grounded,Conceptual / Grounded,No,Explain why a convolution kernel slides over an input matrix.,No,No,valid,Yes,Yes,Yes,2,3,True,4.866666666666666,none,False
T011,conceptual_grounded,Conceptual / Grounded,No,Explain matrix multiplication in simple terms.,Yes,No,invalid,Yes,No,Yes,3,8,True,4.866666666666666,none,False
T012,conceptual_grounded,Conceptual / Grounded,No,What is a row-by-column dot product?,No,No,valid,Yes,Yes,No,2,2,True,3.6,incomplete_answer,True
T013,conceptual_grounded,Conceptual / Grounded,No,Explain the difference between matrix multiplication and convolution.,No,No,valid,Yes,Yes,Yes,3,6,True,4.666666666666667,none,False
T014,conceptual_grounded,Conceptual / Grounded,No,Why is matrix multiplication not the same as sliding a kernel?,Yes,No,invalid,Yes,No,No,2,8,False,1.0,non_answer,True
T015,conceptual_grounded,Conceptual / Grounded,No,Explain why matrix dimensions matter in matrix multiplication.,No,No,valid,Yes,Yes,Yes,2,4,True,4.2,incomplete_answer,True
T016,conceptual_grounded,Conceptual / Grounded,No,What is the role of grounding in an AI tutoring answer?,Yes,No,valid,Yes,No,Yes,2,4,False,1.3333333333333333,non_answer,True
T017,conceptual_grounded,Conceptual / Grounded,No,Explain why tool use can improve tutoring explanations.,No,No,valid,Yes,Yes,Yes,1,1,False,2.0,mixed:incomplete_answer|irrelevant_answer|non_answer,True
T018,conceptual_grounded,Conceptual / Grounded,No,Explain what a visual matrix example helps a learner understand.,Yes,No,invalid,Yes,No,No,2,6,False,3.2666666666666666,mixed:calculation_error|factual_error,True
T019,conceptual_grounded,Conceptual / Grounded,No,Explain why validation is important after using a tool.,Yes,No,valid,Yes,No,Yes,2,4,False,1.3333333333333333,irrelevant_answer,True
