system_name,category,category_display,error_type,judge_run_occurrences
Basic Tool Use,code_related,Code-Related,calculation_error,9
Basic Tool Use,code_related,Code-Related,contradictory_answer,8
Basic Tool Use,code_related,Code-Related,factual_error,12
Basic Tool Use,code_related,Code-Related,incomplete_answer,1
Basic Tool Use,code_related,Code-Related,non_answer,1
Basic Tool Use,computation_verification,Computation / Verification,calculation_error,4
Basic Tool Use,computation_verification,Computation / Verification,contradictory_answer,4
Basic Tool Use,computation_verification,Computation / Verification,factual_error,2
Basic Tool Use,computation_verification,Computation / Verification,incomplete_answer,1
Basic Tool Use,computation_verification,Computation / Verification,non_answer,16
Basic Tool Use,conceptual_grounded,Conceptual / Grounded,calculation_error,2
Basic Tool Use,conceptual_grounded,Conceptual / Grounded,factual_error,1
Basic Tool Use,conceptual_grounded,Conceptual / Grounded,incomplete_answer,1
Basic Tool Use,recovery_personalization_trace,Recovery / Personalization / Trace,calculation_error,4
Basic Tool Use,recovery_personalization_trace,Recovery / Personalization / Trace,contradictory_answer,4
Basic Tool Use,recovery_personalization_trace,Recovery / Personalization / Trace,factual_error,9
Basic Tool Use,recovery_personalization_trace,Recovery / Personalization / Trace,incomplete_answer,8
Basic Tool Use,recovery_personalization_trace,Recovery / Personalization / Trace,non_answer,1
Basic Tool Use,visual_step_by_step,Visual Step-by-Step,calculation_error,8
Basic Tool Use,visual_step_by_step,Visual Step-by-Step,contradictory_answer,2
Basic Tool Use,visual_step_by_step,Visual Step-by-Step,factual_error,15
Direct LLM,code_related,Code-Related,calculation_error,6
Direct LLM,code_related,Code-Related,factual_error,4
Direct LLM,computation_verification,Computation / Verification,calculation_error,11
Direct LLM,conceptual_grounded,Conceptual / Grounded,factual_error,7
Direct LLM,conceptual_grounded,Conceptual / Grounded,incomplete_answer,1
Direct LLM,conceptual_grounded,Conceptual / Grounded,irrelevant_answer,1
Direct LLM,recovery_personalization_trace,Recovery / Personalization / Trace,calculation_error,7
Direct LLM,recovery_personalization_trace,Recovery / Personalization / Trace,factual_error,5
Direct LLM,recovery_personalization_trace,Recovery / Personalization / Trace,incomplete_answer,1
Direct LLM,recovery_personalization_trace,Recovery / Personalization / Trace,irrelevant_answer,2
Direct LLM,visual_step_by_step,Visual Step-by-Step,calculation_error,17
Direct LLM,visual_step_by_step,Visual Step-by-Step,factual_error,8
Direct LLM,visual_step_by_step,Visual Step-by-Step,irrelevant_answer,3
Full Manager,code_related,Code-Related,calculation_error,10
Full Manager,code_related,Code-Related,contradictory_answer,2
Full Manager,code_related,Code-Related,factual_error,3
Full Manager,code_related,Code-Related,incomplete_answer,8
Full Manager,code_related,Code-Related,irrelevant_answer,3
Full Manager,code_related,Code-Related,non_answer,2
Full Manager,computation_verification,Computation / Verification,factual_error,5
Full Manager,computation_verification,Computation / Verification,incomplete_answer,4
Full Manager,conceptual_grounded,Conceptual / Grounded,calculation_error,1
Full Manager,conceptual_grounded,Conceptual / Grounded,factual_error,1
Full Manager,conceptual_grounded,Conceptual / Grounded,incomplete_answer,13
Full Manager,conceptual_grounded,Conceptual / Grounded,irrelevant_answer,4
Full Manager,conceptual_grounded,Conceptual / Grounded,non_answer,7
Full Manager,recovery_personalization_trace,Recovery / Personalization / Trace,calculation_error,3
Full Manager,recovery_personalization_trace,Recovery / Personalization / Trace,incomplete_answer,7
Full Manager,recovery_personalization_trace,Recovery / Personalization / Trace,irrelevant_answer,2
Full Manager,recovery_personalization_trace,Recovery / Personalization / Trace,non_answer,2
Full Manager,visual_step_by_step,Visual Step-by-Step,calculation_error,1
Full Manager,visual_step_by_step,Visual Step-by-Step,factual_error,3
Full Manager,visual_step_by_step,Visual Step-by-Step,incomplete_answer,17
Full Manager,visual_step_by_step,Visual Step-by-Step,non_answer,9
Manager Without Recovery,code_related,Code-Related,incomplete_answer,24
Manager Without Recovery,code_related,Code-Related,non_answer,25
Manager Without Recovery,computation_verification,Computation / Verification,contradictory_answer,1
Manager Without Recovery,computation_verification,Computation / Verification,factual_error,2
Manager Without Recovery,computation_verification,Computation / Verification,incomplete_answer,6
Manager Without Recovery,conceptual_grounded,Conceptual / Grounded,incomplete_answer,15
Manager Without Recovery,conceptual_grounded,Conceptual / Grounded,irrelevant_answer,4
Manager Without Recovery,conceptual_grounded,Conceptual / Grounded,non_answer,8
Manager Without Recovery,recovery_personalization_trace,Recovery / Personalization / Trace,contradictory_answer,3
Manager Without Recovery,recovery_personalization_trace,Recovery / Personalization / Trace,incomplete_answer,14
Manager Without Recovery,recovery_personalization_trace,Recovery / Personalization / Trace,irrelevant_answer,3
Manager Without Recovery,recovery_personalization_trace,Recovery / Personalization / Trace,non_answer,5
Manager Without Recovery,visual_step_by_step,Visual Step-by-Step,factual_error,1
Manager Without Recovery,visual_step_by_step,Visual Step-by-Step,incomplete_answer,14
Manager Without Recovery,visual_step_by_step,Visual Step-by-Step,irrelevant_answer,3
Manager Without Recovery,visual_step_by_step,Visual Step-by-Step,non_answer,5
