test_id,learner_id,category,question,expected_tools,recovery_test,status,provider_status,return_code,selected_tools,workflow_status,validation_status,recovery_used,attempts,final_answer_generated,memory_updated,report_json,trace_json,trace_paths,log_path,notes
T001,article_no_recovery_T001,conceptual_grounded,Explain convolution in simple terms for a beginner.,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T001_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T001_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T001_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T001_no_recovery_round01_TT-66ce238d_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T001_no_recovery_round02_TT-996206d5_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T001_attempt_1.log,Full manager execution.
T002,article_no_recovery_T002,conceptual_grounded,What is a convolution kernel in image processing?,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T002_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T002_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T002_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T002_no_recovery_round01_TT-2e3c8a7c_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T002_no_recovery_round02_TT-5016a031_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T002_no_recovery_round03_TT-fc60c38b_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T002_attempt_1.log,Full manager execution.
T003,article_no_recovery_T003,conceptual_grounded,Explain the difference between a filter and a feature map.,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T003_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T003_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T003_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T003_no_recovery_round01_TT-f213651e_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T003_no_recovery_round02_TT-92dd472f_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T003_no_recovery_round03_TT-2b759fd8_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T003_attempt_1.log,Full manager execution.
T004,article_no_recovery_T004,conceptual_grounded,Why is convolution useful in convolutional neural networks?,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T004_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T004_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T004_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T004_no_recovery_round01_TT-77ae1a75_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T004_no_recovery_round02_TT-0359c024_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T004_attempt_1.log,Full manager execution.
T005,article_no_recovery_T005_infra_retry_2,conceptual_grounded,Explain padding in convolution using simple language.,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T005_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T005_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T005_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T005_no_recovery_round01_TT-6cb4aece_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T005_no_recovery_round02_TT-744cf869_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T005_attempt_2.log,Full manager execution.
T006,article_no_recovery_T006,conceptual_grounded,Explain stride in convolution using simple language.,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T006_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T006_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T006_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T006_no_recovery_round01_TT-82c9ea0e_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T006_no_recovery_round02_TT-96a34c8a_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T006_attempt_1.log,Full manager execution.
T007,article_no_recovery_T007,conceptual_grounded,Explain the difference between padding and stride.,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T007_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T007_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T007_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T007_no_recovery_round01_TT-1715f5ff_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T007_no_recovery_round02_TT-0b9828af_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T007_no_recovery_round03_TT-23702982_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T007_attempt_1.log,Full manager execution.
T008,article_no_recovery_T008,conceptual_grounded,What does valid convolution mean?,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T008_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T008_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T008_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T008_no_recovery_round01_TT-439f73d9_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T008_no_recovery_round02_TT-1327271b_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T008_attempt_1.log,Full manager execution.
T009,article_no_recovery_T009,conceptual_grounded,What does same convolution mean?,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T009_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T009_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T009_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T009_no_recovery_round01_TT-6fbf58d1_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T009_no_recovery_round02_TT-1ce5d0de_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T009_attempt_1.log,Full manager execution.
T010,article_no_recovery_T010,conceptual_grounded,Explain why a convolution kernel slides over an input matrix.,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T010_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T010_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T010_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T010_no_recovery_round01_TT-6c31679b_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T010_no_recovery_round02_TT-0caf2a24_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T010_attempt_1.log,Full manager execution.
T011,article_no_recovery_T011,conceptual_grounded,Explain matrix multiplication in simple terms.,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T011_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T011_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T011_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T011_no_recovery_round01_TT-5dada0fc_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T011_no_recovery_round02_TT-90b5d494_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T011_no_recovery_round03_TT-2362f6be_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T011_attempt_1.log,Full manager execution.
T012,article_no_recovery_T012,conceptual_grounded,What is a row-by-column dot product?,RAGTool,No,ok,available,0,MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T012_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T012_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T012_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T012_no_recovery_round01_TT-b7223034_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T012_no_recovery_round02_TT-c11a6fe6_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T012_attempt_1.log,Full manager execution.
T013,article_no_recovery_T013,conceptual_grounded,Explain the difference between matrix multiplication and convolution.,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T013_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T013_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T013_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T013_no_recovery_round01_TT-91f9cb22_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T013_no_recovery_round02_TT-61891157_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T013_no_recovery_round03_TT-2b18e607_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T013_attempt_1.log,Full manager execution.
T014,article_no_recovery_T014,conceptual_grounded,Why is matrix multiplication not the same as sliding a kernel?,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,fallback,invalid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T014_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T014_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T014_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T014_no_recovery_round01_TT-35e82846_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T014_no_recovery_round02_TT-27155600_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T014_attempt_1.log,Full manager execution.
T015,article_no_recovery_T015,conceptual_grounded,Explain why matrix dimensions matter in matrix multiplication.,RAGTool,No,ok,available,0,RAGTool;MatrixComputationTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T015_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T015_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T015_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T015_no_recovery_round01_TT-4db05446_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T015_no_recovery_round02_TT-5eb54e60_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T015_attempt_1.log,Full manager execution.
T016,article_no_recovery_T016,conceptual_grounded,What is the role of grounding in an AI tutoring answer?,RAGTool,No,ok,available,0,RAGTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T016_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T016_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T016_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T016_no_recovery_round01_TT-54e76059_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T016_no_recovery_round02_TT-2462ad02_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T016_attempt_1.log,Full manager execution.
T017,article_no_recovery_T017,conceptual_grounded,Explain why tool use can improve tutoring explanations.,RAGTool,No,ok,available,0,RAGTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T017_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T017_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T017_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T017_no_recovery_round01_TT-734d2017_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T017_attempt_1.log,Full manager execution.
T018,article_no_recovery_T018,conceptual_grounded,Explain what a visual matrix example helps a learner understand.,RAGTool,No,ok,available,0,RAGTool,fallback,invalid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T018_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T018_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T018_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T018_no_recovery_round01_TT-2615db22_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T018_no_recovery_round02_TT-93eab51e_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T018_attempt_1.log,Full manager execution.
T019,article_no_recovery_T019,conceptual_grounded,Explain why validation is important after using a tool.,RAGTool,No,ok,available,0,RAGTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T019_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T019_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T019_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T019_no_recovery_round01_TT-c285ab5a_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T019_no_recovery_round02_TT-06d80c05_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T019_attempt_1.log,Full manager execution.
T020,article_no_recovery_T020,conceptual_grounded,Explain why recovery is useful when a tool output is incomplete.,RAGTool,No,ok,available,0,RAGTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T020_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T020_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T020_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T020_no_recovery_round01_TT-5edb0e10_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T020_no_recovery_round02_TT-01cc5747_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T020_attempt_1.log,Full manager execution.
T021,article_no_recovery_T021,computation_verification,What is 12 times 8?,CalculatorTool,No,ok,available,0,CalculatorTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T021_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T021_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T021_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T021_no_recovery_round01_TT-a2cd9ecd_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T021_attempt_1.log,Full manager execution.
T022,article_no_recovery_T022,computation_verification,Calculate 45 plus 37.,CalculatorTool,No,ok,available,0,CalculatorTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T022_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T022_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T022_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T022_no_recovery_round01_TT-f5757c93_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T022_attempt_1.log,Full manager execution.
T023,article_no_recovery_T023,computation_verification,Calculate 144 divided by 12.,CalculatorTool,No,ok,available,0,CalculatorTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T023_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T023_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T023_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T023_no_recovery_round01_TT-3be304d0_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T023_attempt_1.log,Full manager execution.
T024,article_no_recovery_T024,computation_verification,Calculate 7 squared plus 3 squared.,CalculatorTool,No,ok,available,0,CalculatorTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T024_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T024_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T024_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T024_no_recovery_round01_TT-4919ebb0_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T024_attempt_1.log,Full manager execution.
T025,article_no_recovery_T025,computation_verification,"Compute the output size of a valid convolution with input 5x5, kernel 3x3, stride 1, padding 0.",CalculatorTool,No,ok,available,0,RAGTool;CalculatorTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T025_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T025_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T025_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T025_no_recovery_round01_TT-a006b2cd_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T025_no_recovery_round02_TT-84e2f935_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T025_no_recovery_round03_TT-8388cd8d_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T025_no_recovery_round04_TT-deb7903e_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T025_attempt_1.log,Full manager execution.
T026,article_no_recovery_T026_infra_retry_2,computation_verification,"Compute the output size of a convolution with input 7x7, kernel 3x3, stride 2, padding 1.",CalculatorTool,No,ok,available,0,RAGTool;CalculatorTool,validated,valid,No,1,Yes,Yes,evaluation/final_results_100/manager_without_recovery_official/runs/T026_no_recovery_report.json,evaluation/final_results_100/manager_without_recovery_official/traces/T026_no_recovery_trace.json,evaluation/final_results_100/manager_without_recovery_official/traces/T026_no_recovery_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T026_no_recovery_round01_TT-d2a58a44_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T026_no_recovery_round02_TT-ecf763e3_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T026_no_recovery_round03_TT-14c8c38d_trace.json;evaluation/final_results_100/manager_without_recovery_official/traces/T026_no_recovery_round04_TT-acfb41b9_trace.json,evaluation/final_results_100/manager_without_recovery_official/logs/T026_attempt_2.log,Full manager execution.
